prec_county,P00003392,P60012234,P80001571
BERKSHIRE E13135,598,60,716
BERKSHIRE F13135,628,39,410
BERKSHIRE G13135,695,72,794
BERKSHIRE H13135,587,38,325
BERKSHIRE J13135,802,95,1030
BERKSHIRE L13135,1174,59,397
BERKSHIRE M13135,461,50,605
BERKSHIRE N13135,836,69,1202
BERKSHIRE O13135,663,64,986
BERKSHIRE P13135,416,19,285
BERKSHIRE Q13135,468,56,587
BETHUNE MIDDLE13089,2411,23,81
BIG CREEK13123,152,22,728
BLACKROCK13113,1215,56,628
BLACKSTOCK13047,143,31,854
BLOOMING GROVE13233,162,20,790
BMS13153,1500,155,3875
BOARDTOWN13123,136,26,738
BOOTH13057,701,103,1949
BOUNDARY WATERS13097,1963,39,392
BOX SPRINGS13263,121,6,166
BOYNTON13047,660,111,2886
BRADSHAW13057,557,125,2307
BRAELINN13113,278,60,1097
BRANTLEYS13207,92,14,592
BREMEN13143,558,97,2969
BRIAR VISTA ELEM13089,1373,100,409
BRIARCLIFF13089,1200,87,689
BRIARLAKE ELEM13089,709,58,487
BRIDGEMILL13057,707,126,2597
BRIGHT STAR13097,553,45,928
BROOKS13113,194,62,1468
BROWNS MILL ELEM13089,2300,36,80
BUCHANAN13143,169,20,1154
BUNCOMBE13143,52,11,459
BURGAYS13207,292,31,1328
BUTTS CO COMM CENTER13035,1225,58,1130
BYROMVILLE13093,233,4,212
BYRON #113225,443,37,1216
BYRON #213225,947,68,1834
CA13313,142,22,789
CABANISS13207,107,6,315
CALHOUN CITY13129,1137,146,3247
CAMP CREEK13113,382,53,953
CANBY LANE ELEM13089,1085,8,31
CANDLER-MURPHEY CANDLER ELEM13089,1705,27,133
CANDLER13089,1518,44,67
CANNONGATE13077,441,126,1982
CANTON13057,1004,121,2389
CARL SCOGGINS MID SC13223,392,66,2344
CARMEL13057,750,124,1384
CARTECAY13123,124,16,864
CARTERS-DOOLITTLE13213,151,23,979
CARTERSVILLE EAST13015,1084,129,2309
CARTERSVILLE WEST13015,1193,115,2933
CARVER/MACK13215,2095,26,80
CASSVILLE13015,734,92,2000
CATAULA13145,379,50,1454
CATES A13135,520,55,934
CATES B13135,371,78,679
CATES C13135,964,37,678
CATES D13135,740,53,915
CATES E13135,869,80,1010
CATES F13135,403,59,789
CATES G13135,644,75,1217
CATES H13135,1307,54,683
CATES I13135,1107,89,1111
CATES J13135,1109,97,910
CATES K13135,627,102,932
CATES L13135,1344,74,1076
CATES M13135,1022,145,1581
CATES N13135,506,57,1196
CATES O13135,382,30,488
CATOOSA KEITH13047,214,44,1246
CAVE SPRING13115,223,26,709
CEDAR CREEK13077,655,116,2712
CEDAR GROVE ELEM13089,2451,33,92
CEDAR GROVE MIDDLE13089,824,5,23
CEDAR GROVE SOUTH13089,2239,23,75
CEDARTOWN13233,1053,81,2319
CENT13153,1519,130,2791
CENTER POST13295,124,45,1083
CENTER13015,373,71,1826
CENTRAL13077,955,57,260
CENTRALHATCHEE13149,140,26,891
CGTC13153,855,96,1820
CH0113121,107,6,44
CH0213121,135,3,182
CH0313121,75,10,160
CH04A13121,185,14,204
CH0513121,49,13,211
CHALYBEATE13199,43,7,262
CHAMBERS13047,258,42,1365
CHAPEL HILL ELEM13089,1913,23,49
CHAPEL HILL13097,1589,78,807
CHAPPELL MILL V. FD13171,147,18,713
CHATTANOOGA VALLEY13295,721,138,2829
CHERRY LOG13123,129,11,458
CHESTNUT LOG13097,1469,56,690
CHICKAMAUGA13295,578,127,3346
CHULIO13115,120,28,591
CLAIRMONT ROAD13089,1424,86,426
CLAUDE13225,102,11,442
CLAYTON13057,317,87,1842
CLINTON13169,331,26,1155
CLOUDLAND13055,58,5,158
CO13313,140,17,647
COLDWATER13055,53,3,106
COLONIAL HILLS13097,1612,29,180
COLUMBIA DRIVE13089,1146,16,37
COLUMBIA ELEM13089,746,14,8
COLUMBIA MIDDLE13089,949,16,28
COLUMBUS TECH13215,764,65,1012
COLWELL13111,122,13,562
CONNS CREEK13057,46,12,424
COOKSVILLE - CORINTH13149,33,7,256
CORALWOOD13089,1567,117,665
CORINTH13143,78,14,821
COTTON INDIAN13151,1251,72,1320
COURTHOUSE ANNEX13235,1104,58,2437
COVE13199,16,2,141
COVINGTON13089,855,32,83
COWETA CENTRAL LIBRARY13077,206,34,869
COX13207,104,12,356
CP01113121,529,23,126
CP01213121,590,29,163
CP01B13121,157,9,73
CP0213121,445,26,73
CP0413121,23,0,2
CP05113121,877,10,39
CP05B13121,57,1,1
CP06A13121,213,2,12
CP07A13121,441,10,10
CP08113121,133,2,4
CP08313121,83,1,1
CP08A13121,209,3,4
CROSSROADS13089,1572,29,78
CULLODEN13207,93,6,178
CUSSETA RD13215,2420,32,126
DACULA13135,1368,109,1303
DAVIDSON13169,147,19,770
DAVIS13083,119,29,967
DAVISBORO13303,267,4,306
DEEPSTEP13303,101,2,271
DEER LICK13097,819,52,733
DEER RUN13057,490,95,1407
DG13313,500,69,1372
DILLARDS13207,113,11,483
DIRTSELLER13055,16,0,106
DIRTTOWN13055,96,11,455
DIXIE13057,964,196,2144
DORSETT SHOALS13097,746,92,1368
DRESDEN13077,94,23,455
DRUID HILLS HIGH13089,1567,68,279
DRY BRANCH13289,200,11,660
DULUTH A13135,1469,138,1309
DULUTH B13135,867,81,1018
DULUTH C13135,691,93,625
DULUTH D13135,1393,121,876
DULUTH E13135,1665,101,782
DULUTH F13135,1867,78,581
DULUTH G13135,761,66,971
DULUTH H13135,784,58,779
DULUTH I13135,1216,59,1508
DULUTH K13135,880,36,248
DUNAIRE ELEM13089,993,19,133
DUNCANS A13135,814,108,2109
DUNCANS B13135,769,108,2119
DUNCANS C13135,497,78,1509
DUNCANS D13135,1028,152,2675
DUTCHTOWN13151,671,57,1009
EAST ELLIJAY13123,151,23,803
EAST LAKE13151,466,51,1648
EAST LINDALE13115,483,63,1595
EAST MACON 113021,954,4,26
EAST MACON 213021,1999,21,100
EAST MACON 313021,1289,52,490
EAST MACON 413021,1234,13,63
EAST MACON 513021,1125,22,318
EAST ROME13115,1019,89,1164
EAST VERNON13285,399,54,1660
EDDY/KEY13215,1334,27,371
EDGEWOOD BAPTIST13215,1088,44,625
ELLENWOOD13063,3174,59,219
ELLENWOOD13151,2222,47,483
ELLERSLIE13145,701,57,2022
ELLIJAY NORTH13123,154,31,763
ELLIJAY NORTHEAST13123,207,12,951
ELLIJAY SOUTH13123,306,40,1372
EMBRY HILLS13089,790,75,509
EMERSON13015,289,55,1380
EMORY ROAD13089,674,19,124
EMORY SOUTH13089,1738,123,473
ENON GROVE13149,84,14,471
EP0113121,2572,70,266
EP0213121,2634,75,275
EP0313121,3314,63,173
EPHESUS BAPTIST CHUR13097,514,67,2120
EPHESUS13149,85,19,631
ES13313,267,26,532
ETHRIDGE13169,418,26,705
ETOWAH13115,613,77,2444
EUHARLEE13015,420,77,1660
EUROPE13113,1903,36,286
EVANSDALE ELEM13089,1224,77,510
EVERETT SPRINGS13115,40,7,237
EVERS13207,240,40,876
EXPO CENTER13077,306,58,878
FA01A13121,4191,86,598
FA01B13121,358,6,20
FACTORY SHOALS13097,1609,74,818
FAIRINGTON ELEM13089,2253,30,62
FAIRMOUNT13129,105,29,967
FAIRPLAY13111,107,12,532
FAIRVIEW13295,307,50,1164
FAIRYLAND13295,246,48,540
FAITH TABERNACLE13215,2169,34,179
FAYETTEVILLE EAST13113,634,38,611
FAYETTEVILLE WEST13113,489,32,628
FELTON13143,13,2,153
FERNBANK ELEM13089,1303,63,320
FI13313,315,29,825
FIELDING RIDGE13113,789,117,1655
FINNEY13169,392,46,1214
FIRST AFRICAN13215,579,33,208
FISCHER ROAD13077,586,126,1941
FISH CREEK13233,241,26,1338
FLAKES MILL FIRE STATION13089,1132,10,29
FLAT CREEK13113,491,65,806
FLAT ROCK ELEM13089,1707,26,58
FLAT SHOALS ELEM13089,1128,15,24
FLAT SHOALS LIBRARY13089,1194,16,26
FLAT SHOALS PARKWAY13089,2085,21,71
FLAT SHOALS13089,1099,25,26
FLINT HILL13263,464,15,275
FLINT13113,562,27,493
FLINTHILL13111,287,40,1483
FLIPPEN13151,1736,39,1002
FLOYD SPRINGS13115,119,27,977
FMMS13153,2100,185,3105
FOLSOM13015,60,16,698
FOREST PARK 113063,1014,37,267
FOREST PARK 213063,955,24,184
FOREST PARK 313063,880,18,222
FOREST PARK 413063,573,22,282
FOREST PARK 513063,1263,34,265
FOREST PARK 613063,460,14,209
FORSYTH13207,1486,38,1044
FORT VALLEY #113225,889,33,610
FORT VALLEY #213225,950,20,442
FORT VALLEY #313225,1575,25,204
FORT/WADDELL13215,2721,61,535
FOSTER'S MILL13115,76,13,491
FRANKLIN13149,305,25,848
FREEDOM MIDDLE13089,1531,25,161
FREEHOME13057,525,125,2851
GARDEN LAKES13115,381,50,824
GARDNER NEWMAN13285,451,21,756
GARNERS A13135,889,121,1325
GARNERS B13135,1219,55,713
GARNERS C13135,604,60,552
GARNERS D13135,1337,45,534
GARNERS F13135,467,49,523
GENEVA13263,215,3,129
GENTIAN/REESE @LDS13215,1395,108,1609
GL13313,466,34,810
GLENHAVEN13089,808,28,75
GLENNWOOD - 0413089,559,30,77
GLENNWOOD - 0513089,719,18,104
GLENWOOD ROAD13089,969,15,56
GLENWOOD13115,381,71,1444
GODFREY 113021,2689,67,189
GODFREY 213021,773,10,68
GODFREY 313021,1507,15,153
GODFREY 413021,892,10,103
GODFREY 513021,2195,38,286
GOLDEN ISLES13289,631,10,434
GOLDEN METHODIST CH13097,2044,58,342
GOODMAN13145,369,21,638
GOODWINS A13135,1215,99,940
GOODWINS B13135,933,120,1419
GOODWINS C13135,1765,106,1034
GOODWINS D13135,1165,147,1165
GOODWINS E13135,1479,148,1506
GOODWINS F13135,908,102,843
GOODWINS G13135,936,47,433
GOODWINS H13135,816,88,794
GOODWINS I13135,731,78,895
GORDON COUNTY13129,589,68,2588
GRANTVILLE13077,457,45,1018
GRAY HILL13285,304,29,849
GRAY13169,405,36,1302
GRAYSVILLE13047,442,107,1950
GREENTOP13077,540,50,1032
GRESHAM ROAD13089,1761,57,99
GRIGGS CENTER13285,1146,15,64
GROVE PARK13151,609,52,1299
HAFS13153,253,15,810
HAMBRICK ELEM13089,1653,32,197
HAMILTON13145,509,39,987
HAMMETT RD13285,1270,47,974
HARALSON13077,217,33,1166
HARBINS A13135,1470,156,2026
HARBINS B13135,897,106,1683
HARBINS C13135,468,58,1076
HARPS CROSSING13113,359,29,837
HARRIS-MARGARET HARRIS ED13089,942,59,237
HARRISON13303,231,9,423
HAWKINS13169,1127,35,710
HAWTHORNE ELEM13089,1681,91,591
HAYWOOD13055,15,3,89
HAZZARD 113021,1555,13,230
HAZZARD 213021,1176,61,1125
HAZZARD 313021,2675,74,1108
HAZZARD 413021,445,23,1004
HAZZARD 513021,709,37,1000
HCTC13153,1495,139,1929
HEFS13153,282,10,502
HEMPTOWN13111,122,13,630
HENDERSON MILL ELEM13089,1313,94,665
HHPC13153,1881,124,1920
HICKORY FLAT13057,819,168,2600
HICKORY FLAT13151,1904,91,1199
HIGGSVILLE13289,138,14,342
HIGH FALLS13207,153,23,790
HIGHLAND13285,463,22,461
HIGHTOWER13057,280,84,1836
HILL13227,158,42,913
HILLSIDE13057,498,94,1722
HINTON13227,47,16,404
HIRAM HIGH SCHOOL13223,1704,97,2275
HOG MOUNTAIN A13135,1351,119,1177
HOG MOUNTAIN B13135,1097,107,1767
HOG MOUNTAIN C13135,910,109,1372
HOG MOUNTAIN D13135,706,98,1107
HOGANSVILLE13285,627,29,1092
HOLLIS HAND13285,585,78,1801
HOLLY SPRINGS13057,292,75,1224
HOPEFUL13113,731,44,612
HOTHOUSE13111,108,13,611
HOWARD 113021,429,33,657
HOWARD 313021,2179,158,3100
HOWARD 413021,448,46,590
HOWARD 513021,459,47,460
HOWARD 613021,526,59,814
HOWARD 713021,568,69,1182
HOWELL13115,90,14,810
HP0113121,1205,70,495
HUGH HOWELL13089,724,50,561
INDIAN CREEK ELEM13089,845,33,136
JASPER13227,246,44,1024
JC0113121,1870,120,1322
JC0213121,722,35,697
JC03A13121,196,17,199
JC03B13121,549,38,373
JC04A13121,1410,151,1381
JC04B13121,91,9,74
JC0513121,736,81,651
JC0613121,713,55,1025
JC0713121,1390,107,1207
JC0813121,872,110,964
JC0913121,1059,89,806
JC1013121,800,69,619
JC1113121,897,77,1224
JC1213121,579,41,1177
JC13A13121,449,61,1011
JC13B13121,38,9,153
JC1413121,708,60,1000
JC1513121,294,29,202
JC1613121,802,102,907
JC1813121,791,100,1100
JC1913121,1251,143,1239
JEFF DAVIS13113,985,44,714
JEFFERSON PARKWAY13077,2097,187,2025
JEFFERSONVILLE/WARE13289,698,9,354
JENKINSBURG13035,537,25,1039
JERUSALEM13227,67,12,538
JOLLY ELEM13089,1406,48,250
JONESBORO 1013063,1230,22,158
JONESBORO 1113063,1662,44,490
JONESBORO 113063,2176,41,207
JONESBORO 1213063,1331,16,109
JONESBORO 1313063,950,17,182
JONESBORO 1413063,1781,53,857
JONESBORO 1513063,1052,31,129
JONESBORO 1613063,912,26,127
JONESBORO 1713063,2161,45,165
JONESBORO 1813063,1345,41,207
JONESBORO 213063,2024,35,108
JONESBORO 313063,1795,43,386
JONESBORO 413063,811,22,172
JONESBORO 513063,825,33,271
JONESBORO 613063,846,37,844
JONESBORO 713063,1394,43,329
JONESBORO 813063,1569,24,115
JONESBORO 913063,472,13,132
JUNCTION CITY13263,207,7,106
KEDRON13113,899,87,1284
KELLEY CHAPEL ROAD13089,809,12,37
KELLEY LAKE ELEM13089,1497,25,44
KELLEYTOWN13151,725,78,1579
KELLOGG13057,758,186,2060
KELSEYS13207,209,4,235
KENSINGTON13295,161,34,684
KENWOOD13113,519,16,156
KING-ML KING JR HIGH13089,2804,31,64
KINGSTON13015,223,35,1252
L C S C13171,403,38,1344
LAKE CITY13063,1178,29,154
LAKE CREEK13233,248,41,1564
LAKE DOW13151,965,79,2149
LAKE HAVEN13151,980,83,1548
LAKESIDE HIGH13089,1393,100,813
LAKEVIEW13047,372,69,1421
LAVISTA ROAD13089,1019,58,396
LAVISTA13089,1329,95,474
LAWRENCEVILLE A13135,1052,70,891
LAWRENCEVILLE B13135,1754,71,926
LAWRENCEVILLE C13135,624,107,1064
LAWRENCEVILLE D13135,1753,69,548
LAWRENCEVILLE E13135,633,58,821
LAWRENCEVILLE F13135,1635,73,607
LAWRENCEVILLE G13135,1162,52,429
LAWRENCEVILLE H13135,1072,118,1423
LAWRENCEVILLE I13135,1077,91,722
LAWRENCEVILLE J13135,728,60,401
LAWRENCEVILLE K13135,883,84,1052
LAWRENCEVILLE L13135,1601,105,1189
LAWRENCEVILLE M13135,2380,93,698
LAWRENCEVILLE N13135,652,67,563
LEACHES13123,225,39,1235
LIBERTY13057,1236,238,3206
LIGHTHOUSE13151,1342,51,951
LILLY13093,175,4,161
LILY POND13129,141,24,847
LITHONIA HIGH13089,1606,20,33
LITTLE CREEK13143,46,9,386
LITTLE RIVER13057,1458,200,2791
LIVSEY ELEM13089,592,37,454
LOCUST GROVE13151,1852,97,1371
LONE OAK13199,368,9,344
LONG CANE13285,503,38,1600
LOVEJOY 113063,1777,41,314
LOVEJOY 213063,1421,25,197
LOVEJOY 313063,2696,56,572
LOVEJOY 413063,2023,27,232
LOVEJOY 513063,1367,30,147
LOWER 19TH13145,346,43,1327
LOWES13151,2768,127,2055
LT13313,76,14,610
LUDVILLE13227,24,10,343
LUTHERAN CHURCH - GS13097,1404,82,1200
LUTHERSVILLE13199,639,30,855
LYERLY13055,94,12,445
MACEDONIA13057,523,100,2437
MADRAS13077,748,99,1824
MARBUT ELEM13089,2305,21,51
MARTIN & BURNEY13159,248,49,1836
MARTINS A13135,1237,58,364
MARTINS B13135,1087,50,564
MARTINS C13135,818,55,611
MARTINS D13135,803,26,163
MARTINS E13135,2197,66,294
MARTINS F13135,917,45,308
MARTINS G13135,863,57,339
MARTINS H13135,1594,67,821
MARTINS I13135,1380,43,439
MARTINS J13135,1533,75,392
MARTINS K13135,2107,82,614
MATHIS-BOB MATHIS ELEM13089,1694,31,83
MC13313,118,28,848
MCDONALD13213,175,29,1123
MCDONOUGH CENTRAL13151,1229,70,1148
MCDONOUGH13151,660,25,449
MCINTOSH13113,714,73,1549
MCLENDON13089,1129,66,217
MCLENDON13285,469,67,1799
MCMS13153,1733,160,3345
MCMULLEN13151,495,69,1660
MCNAIR ACADEMY13089,1131,36,32
MCNAIR HIGH13089,2032,71,131
MCWILLIAMS13089,1376,15,39
MEMORIAL SOUTH13089,1189,22,74
MIDDLEBROOKS13207,140,22,706
MIDVALE ELEM13089,725,84,704
MIDVALE ROAD13089,1292,72,591
MILL13153,470,39,819
MILLER GROVE HIGH13089,1450,17,40
MILLER GROVE ROAD13089,1330,12,47
MILNER13171,404,37,1881
MINERAL BLUFF13111,143,12,922
MIRROR LAKE ELEMENTA13097,1693,116,1770
MISSION ROAD13015,648,82,2521
ML01113121,627,87,985
ML01213121,103,12,232
ML01B13121,19,3,37
ML02113121,300,65,938
ML02213121,35,17,104
ML02313121,266,49,716
ML02413121,16,3,57
ML0313121,755,131,1799
ML04A13121,433,61,738
ML04B13121,250,36,571
ML04C13121,18,1,52
ML05A13121,18,0,14
ML05B13121,84,4,185
ML05C13121,1243,116,1414
ML06A13121,687,46,367
ML06B13121,1032,92,710
ML07113121,32,3,45
ML07213121,220,30,546
ML07A13121,139,21,330
MOBILE13111,93,14,573
MONTCLAIR ELEM13089,968,45,142
MONTICELLO13159,1067,53,1712
MONTREAL13089,761,51,289
MOON/MORNINGSIDE13215,973,115,2079
MORELAND13077,254,38,1274
MORGANTON13111,225,12,985
MORNING CREEK13113,1088,51,919
MORROW 113063,1324,29,128
MORROW 213063,678,22,338
MORROW 313063,1833,40,338
MORROW 413063,731,30,235
MORROW 513063,2425,52,410
MORROW 613063,1215,36,243
MORROW 713063,762,18,164
MORROW 813063,1473,34,115
MORROW 913063,614,21,114
MOSES MIDDLE SCHOOL13223,971,120,2893
MOUNTAIN ROAD13057,432,100,1566
